idMao	idPartida	jogadorMao	cartaAltaRobo	cartaMediaRobo	cartaBaixaRobo	cartaAltaHumano	cartaMediaHumano	cartaBaixaHumano	primeiraCartaRobo	primeiraCartaHumano	segundaCartaRobo	segundaCartaHumano	terceiraCartaRobo	terceiraCartaHumano	ganhadorPrimeiraRodada	ganhadorSegundaRodada	ganhadorTerceiraRodada	roboCartaVirada	humanoCartaVirada	quemPediuEnvido	quemPediuFaltaEnvido	quemPediuRealEnvido	pontosEnvidoRobo	pontosEnvidoHumano	quemNegouEnvido	quemGanhouEnvido	tentosEnvido	quemFlor	quemContraFlor	quemContraFlorResto	quemNegouFlor	pontosFlorRobo	pontosFlorHumano	quemGanhouFlor	tentosFlor	quemEscondeuPontosEnvido	quemEscondeuPontosFlor	quemTruco	quandoTruco	quemRetruco	quandoRetruco	quemValeQuatro	quandoValeQuatro	quemNegouTruco	quemGanhouTruco	tentosTruco	tentosAnterioresRobo	tentosAnterioresHumano	tentosPosterioresRobo	tentosPosterioresHumano	roboMentiuEnvido	humanoMentiuEnvido	roboMentiuFlor	humanoMentiuFlor	roboMentiuTruco	humanoMentiuTruco	quemBaralho	quandoBaralho	quemContraFlorFalta	quemEnvidoEnvido	quemFlorFlor	quandoCartaVirada	hasDeception	roboMentiuRound1	humanoMentiuRound1	roboMentiuRound2	humanoMentiuRound2	roboMentiuRound3	humanoMentiuRound3	naipeCartaAltaRobo	naipeCartaMediaRobo	naipeCartaBaixaRobo	naipeCartaAltaHumano	naipeCartaMediaHumano	naipeCartaBaixaHumano	naipePrimeiraCartaRobo	naipePrimeiraCartaHumano	naipeSegundaCartaRobo	naipeSegundaCartaHumano	naipeTerceiraCartaRobo	naipeTerceiraCartaHumano	quantidadeChamadasHumano	quantidadeChamadasRobo	qualidadeMaoRobo	qualidadeMaoHumano	primeiraCartaHumanoClustering	segundaCartaHumanoClustering	terceiraCartaHumanoClustering	primeiraCartaRoboClustering	segundaCartaRoboClustering	terceiraCartaRoboClustering	quantidadeChamadasEnvidoRobo	quantidadeChamadasEnvidoHumano	cartaAltaRoboClustering	cartaMediaRoboClustering	cartaBaixaRoboClustering	clusterPrimeiraCartaAgentePe	clusterSegundaCartaAgenteGanhouAprimeira	clusterSegundaCartaAgentePerdeuAprimeira	clusterTerceiraCartaAgenteGanhouAsegunda	clusterGanhadorUltimaRodada	clusterTerceiraCartaAgentePerdeuAsegunda	clusterPrimeiraCartaAgenteMao	ganhadorMao	clusterQuemEnvidoAgenteMao	clusterQuemFlor	id	saldoTruco	saldoEnvido	saldoFlor	clusterQuemEnvidoAgentePe	clusteringindexacao	clusterBaralho	clusteringIndexacaoPontos	casoUtilTruco	casoUtilEnvido	casoUtilContraFlor	quemPediuEnvidoCluster	quemPediuRealEnvidoCluster	quemPediuFaltaEnvidoCluster	quemNegouEnvidoCluster	quemTrucoCluster	quemRetrucoCluster	quemValeQuatroCluster	quemNegouTrucoCluster	utilTruco	utilEnvido	utilFlor	utilCarta	quemPediuFlorCluster	quemPediuContraFlorCluster	quemPediuContraFlorEoRestoCluster	diferencaPontuacao	idOrigem	clusterQuemTrucoPrimeiraMao	clusterQuemTrucoPrimeiraPe	clusterQuemTrucoSegundaGanhouAnterior	clusterQuemTrucoSegundaPerdeuAnterior	clusterQuemTrucoTerceiraGanhouAnterior	clusterQuemTrucoTerceiraPerdeuAnterior	bluff1Success	bluff1Failure	bluff2Success	bluff2Failure	bluff3Success	bluff3Failure	bluff4Success	bluff4Failure	bluff5Success	bluff5Failure	bluff6Success	bluff6Failure	bluff1Opponent	bluff2Opponent	bluff3Opponent	bluff4Opponent	bluff5Opponent	bluff6Opponent	bluff1ShowDown	bluff2ShowDown	bluff3ShowDown	bluff4ShowDown	bluff5ShowDown	bluff6ShowDown
1	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	2	52	8	2	50	16	16	52	16	2	16	-15	1	1	2	-130	0	NULL	1	0	0	5	2	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	1	2	1	2	0	3	1	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	BASTOS	COPAS	BASTOS	OURO	BASTOS	ESPADAS	COPAS	COPAS	OURO	NULL	NULL	1	0	62	82	20	20	-15	46	4	-15	1	0	51	7	3	7	2	0	0	0	4	0	1	0	NULL	1	-1	1	NULL	0	2	3	0	0	0	0	1	2	2	3	3	2	2	1	1	0	0	1	2	2	2	0	NULL	0	4	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	1	24	16	4	7	6	4	16	4	4	7	-46	6	1	2	1	0	NULL	1	0	0	29	7	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	3	0	0	0	0	2	1	1	3	1	5	1	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OURO	COPAS	COPAS	COPAS	ESPADAS	COPAS	COPAS	BASTOS	COPAS	COPAS	NULL	ESPADAS	0	1	44	17	3	7	7	16	4	-46	1	0	20	20	3	0	2	0	0	0	3	1	1	1	NULL	2	1	1	NULL	0	3	0	2	0	0	0	1	2	2	3	1	2	2	3	0	1	0	1	2	2	2	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	2	12	8	4	42	16	1	4	1	8	16	-15	1	1	2	-130	0	NULL	2	0	1	27	7	0	2	5	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	1	2	1	5	1	5	7	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OURO	COPAS	COPAS	ESPADAS	BASTOS	ESPADAS	COPAS	ESPADAS	COPAS	BASTOS	NULL	NULL	1	0	24	59	3	20	-15	4	16	-15	0	1	12	7	3	6	2	0	0	0	4	0	1	0	NULL	3	-1	-5	NULL	0	2	3	0	0	0	0	3	1	2	2	3	2	2	1	1	0	0	1	2	2	2	0	NULL	0	4	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	1	24	4	1	24	8	6	24	6	1	8	-15	1	1	2	-130	0	NULL	1	0	0	31	3	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	1	2	1	5	7	6	8	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	COPAS	COPAS	OURO	COPAS	OURO	ESPADAS	BASTOS	COPAS	COPAS	NULL	NULL	1	0	29	38	7	7	-15	46	4	-15	1	0	20	3	3	0	2	0	0	0	4	4	1	1	NULL	4	-1	1	NULL	0	2	0	2	0	0	0	1	2	2	3	3	2	2	1	1	1	0	1	2	2	2	0	NULL	1	0	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	2	50	12	3	7	6	4	12	4	3	6	-46	7	1	2	1	0	NULL	2	0	0	6	7	1	2	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	3	0	0	0	0	2	1	1	6	8	7	9	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BASTOS	COPAS	ESPADAS	ESPADAS	BASTOS	ESPADAS	COPAS	BASTOS	ESPADAS	BASTOS	NULL	ESPADAS	0	1	65	17	3	7	7	16	4	-46	0	1	51	12	3	7	2	0	0	0	3	0	1	0	NULL	5	1	-1	NULL	1	3	3	1	0	0	0	3	2	2	1	1	2	2	3	0	1	0	1	2	2	2	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	1	16	16	2	40	6	1	16	1	2	6	-10	40	-10	2	2	0	NULL	2	0	0	5	31	1	2	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	0	2	2	7	9	7	12	NULL	NULL	NULL	NULL	NULL	NULL	1	2	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	OURO	ESPADAS	COPAS	OURO	OURO	OURO	ESPADAS	BASTOS	COPAS	OURO	NULL	OURO	1	0	34	47	3	7	41	16	4	-10	0	1	20	20	3	0	0	0	0	0	2	1	2	0	NULL	6	-2	-1	NULL	0	3	0	0	0	0	0	3	2	2	1	3	2	2	2	0	0	0	1	2	2	2	0	NULL	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	2	24	2	1	24	7	2	24	2	1	7	-15	1	1	2	-130	0	NULL	1	0	0	29	5	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	2	2	0	0	0	0	1	2	1	7	12	8	13	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	OURO	OURO	OURO	ESPADAS	OURO	ESPADAS	ESPADAS	OURO	ESPADAS	NULL	NULL	1	0	27	33	3	7	-15	46	4	-15	1	0	20	3	3	2	2	0	0	0	4	0	1	0	NULL	7	-1	1	NULL	2	2	3	2	0	0	0	1	2	2	3	3	2	2	1	1	1	0	1	2	2	2	0	NULL	0	4	2	0	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	1	16	6	3	12	6	3	6	12	16	3	3	6	2	1	2	0	NULL	1	0	0	6	27	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	2	1	8	13	9	14	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BASTOS	COPAS	BASTOS	OURO	OURO	OURO	COPAS	OURO	BASTOS	ESPADAS	BASTOS	OURO	0	0	25	21	12	3	7	16	46	4	1	0	20	7	3	0	0	4	4	0	0	3	1	0	NULL	8	-1	1	NULL	0	2	0	0	0	0	0	1	2	2	3	2	2	2	2	1	0	0	1	2	2	2	0	NULL	1	0	0	2	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
9	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	2	16	8	7	4	3	2	7	2	8	3	-46	NULL	1	1	1	0	NULL	0	0	0	22	38	0	0	0	2	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	1	1	9	14	10	17	NULL	NULL	NULL	NULL	NULL	NULL	0	0	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	ESPADAS	ESPADAS	COPAS	BASTOS	BASTOS	BASTOS	COPAS	BASTOS	ESPADAS	BASTOS	NULL	NULL	0	0	31	9	3	3	-46	4	16	-46	0	0	20	7	7	5	2	0	2	0	0	0	1	0	NULL	9	1	1	NULL	3	1	3	2	0	0	0	2	2	2	2	2	2	2	2	1	1	0	1	3	2	2	0	NULL	0	5	1	0	1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
10	e8bf2eb9-e96a-43d6-a309-6a3db1f5d5cd	1	7	4	3	16	12	6	7	12	-10	6	-10	0	2	2	2	0	NULL	1	0	0	27	2	2	1	1	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	0	0	0	0	0	0	2	1	10	17	11	18	NULL	NULL	NULL	NULL	NULL	NULL	1	1	NULL	NULL	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	COPAS	COPAS	OURO	COPAS	OURO	COPAS	COPAS	OURO	NULL	ESPADAS	NULL	NULL	0	0	14	34	12	7	-15	46	-15	-10	1	0	7	3	3	0	0	3	0	0	4	4	2	1	NULL	10	-1	1	NULL	0	2	0	2	0	0	0	1	2	2	3	2	2	2	2	1	1	0	1	2	2	2	0	NULL	1	0	0	2	0	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
